file_name,version,category,error_field,level_type,item_index,gt_value,pred_value,ocr_text_path,prediction_path,ground_truth_path,suspected_error_type,notes
L2_B_022,clean_baseline,B,po_number,header,,PO-2024-8032,Po-2024-8032,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_022.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_022.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_022.json,ocr_char_confusion,
L2_B_023,clean_baseline,B,po_number,header,,PO-2025-6753,Po-2025-6753,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_023.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_023.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_023.json,ocr_char_confusion,
L2_B_026,clean_baseline,B,part_number,item,4,GX-410,Gx-410,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_026.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_026.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_026.json,ocr_char_confusion,
L2_B_031,clean_baseline,B,po_number,header,,PO-2025-9173,Po-2025-9173,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_031.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_031.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_031.json,ocr_char_confusion,
L2_B_035,clean_baseline,B,part_number,item,0,AX-725,Ax-725,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_035.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_035.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_035.json,ocr_char_confusion,
L2_B_038,clean_baseline,B,po_number,header,,PO-2026-8779,Po-2026-8779,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_038.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_038.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_038.json,ocr_char_confusion,
L2_B_038,clean_baseline,B,part_number,item,4,GX-940,Gx-940,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_038.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_038.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_038.json,ocr_char_confusion,
L2_B_040,clean_baseline,B,po_number,header,,PO-2025-7828,Po-2025-7828,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_040.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_040.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_040.json,ocr_char_confusion,
L2_B_040,clean_baseline,B,part_number,item,4,DX-512,Dx-512,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_040.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_040.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_040.json,ocr_char_confusion,
L2_B_043,clean_baseline,B,po_number,header,,PO-2026-9759,Po-2026-9759,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_043.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_043.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_043.json,ocr_char_confusion,
L2_B_045,clean_baseline,B,po_number,header,,PO-2025-7280,Po-2025-728o,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_045.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_045.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_045.json,ocr_char_confusion,
L2_B_045,clean_baseline,B,po_date,header,,2024-01-10,2024-10-01,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_045.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_045.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_045.json,date_ambiguity,
L2_B_046,clean_baseline,B,po_number,header,,PO-2026-1359,Po-2026-1359,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_046.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_046.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_046.json,ocr_char_confusion,
L2_C_006,clean_baseline,C,unit_price,item,2,72.95,2.95,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_C_006.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_C_006.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/C_complex_items/L2_C_006.json,value_misalignment,
L2_C_039,clean_baseline,C,po_date,header,,2025-06-11,2025-11-06,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_C_039.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_C_039.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/C_complex_items/L2_C_039.json,date_ambiguity,
L2_C_048,clean_baseline,C,part_number,item,1,BK-512,BK-52,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_C_048.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_C_048.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/C_complex_items/L2_C_048.json,structure_break,
L2_D_005,clean_baseline,D,unit,item,2,sets,sts,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_D_005.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_D_005.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_005.json,structure_break,
L2_D_009,clean_baseline,D,po_date,header,,2024-11-05,2024-05-11,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_D_009.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_D_009.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_009.json,date_ambiguity,
L2_D_015,clean_baseline,D,po_date,header,,2024-05-09,2024-09-05,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_D_015.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_D_015.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_015.json,date_ambiguity,
L2_D_050,clean_baseline,D,po_date,header,,2024-03-10,2024-10-03,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_D_050.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_D_050.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_050.json,date_ambiguity,
L2_E_009,clean_baseline,E,part_number,item,3,DX-830,Dx-830,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_E_009.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_E_009.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_009.json,ocr_char_confusion,
L2_E_012,clean_baseline,E,part_number,item,2,DX-830,Dx-830,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_E_012.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_E_012.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_012.json,ocr_char_confusion,
L2_E_025,clean_baseline,E,part_number,item,2,DX-618,Dx-618,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_E_025.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_E_025.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_025.json,ocr_char_confusion,
L2_E_031,clean_baseline,E,po_date,header,,2026-02-05,2026-05-02,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_E_031.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_E_031.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_031.json,date_ambiguity,
L2_E_039,clean_baseline,E,part_number,item,1,GX-305,Gx-305,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_E_039.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_E_039.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_039.json,ocr_char_confusion,
L2_E_042,clean_baseline,E,part_number,item,2,GX-940,Gx-940,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_E_042.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_E_042.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_042.json,ocr_char_confusion,
