file_name,baseline_doc_correct,fixed_doc_correct,baseline_po_number,fixed_po_number,gt_po_number,baseline_po_correct,fixed_po_correct
L2_D_021,True,True,PO-2026-3784,PO-2026-3784,PO-2026-3784,True,True
L2_D_022,True,True,PO-2025-9701,PO-2025-9701,PO-2025-9701,True,True
L2_D_023,True,True,PO-2026-9887,PO-2026-9887,PO-2026-9887,True,True
L2_D_024,True,True,PO-2024-9841,PO-2024-9841,PO-2024-9841,True,True
L2_D_025,True,True,PO-2024-2313,PO-2024-2313,PO-2024-2313,True,True
L2_D_026,True,True,PO-2024-2031,PO-2024-2031,PO-2024-2031,True,True
L2_D_027,True,True,PO-2024-1674,PO-2024-1674,PO-2024-1674,True,True
L2_D_028,True,True,PO-2024-8243,PO-2024-8243,PO-2024-8243,True,True
L2_D_029,True,True,PO-2024-5553,PO-2024-5553,PO-2024-5553,True,True
L2_D_030,True,True,PO-2025-6047,PO-2025-6047,PO-2025-6047,True,True
L2_D_031,True,True,PO-2024-5947,PO-2024-5947,PO-2024-5947,True,True
L2_D_032,True,True,PO-2026-8144,PO-2026-8144,PO-2026-8144,True,True
L2_D_033,True,True,PO-2025-6180,PO-2025-6180,PO-2025-6180,True,True
L2_D_034,True,True,PO-2025-6940,PO-2025-6940,PO-2025-6940,True,True
L2_D_035,True,True,PO-2026-1971,PO-2026-1971,PO-2026-1971,True,True
L2_D_036,True,True,PO-2025-3630,PO-2025-3630,PO-2025-3630,True,True
L2_D_037,True,True,PO-2026-2758,PO-2026-2758,PO-2026-2758,True,True
L2_D_038,True,True,PO-2025-4700,PO-2025-4700,PO-2025-4700,True,True
L2_D_039,True,True,PO-2024-2060,PO-2024-2060,PO-2024-2060,True,True
L2_D_040,True,True,PO-2026-6356,PO-2026-6356,PO-2026-6356,True,True
L2_D_041,True,True,PO-2025-7165,PO-2025-7165,PO-2025-7165,True,True
L2_D_042,True,True,PO-2026-7189,PO-2026-7189,PO-2026-7189,True,True
L2_D_043,True,True,PO-2024-6113,PO-2024-6113,PO-2024-6113,True,True
L2_D_044,True,True,PO-2025-6282,PO-2025-6282,PO-2025-6282,True,True
L2_D_045,True,True,PO-2026-8786,PO-2026-8786,PO-2026-8786,True,True
L2_D_046,True,True,PO-2024-3465,PO-2024-3465,PO-2024-3465,True,True
L2_D_047,True,True,PO-2026-8145,PO-2026-8145,PO-2026-8145,True,True
L2_D_048,True,True,PO-2024-4867,PO-2024-4867,PO-2024-4867,True,True
L2_D_049,True,True,PO-2024-5550,PO-2024-5550,PO-2024-5550,True,True
L2_D_050,False,False,PO-2025-7656,PO-2025-7656,PO-2025-7656,True,True
L2_E_001,True,True,PO-2025-6233,PO-2025-6233,PO-2025-6233,True,True
L2_E_002,True,True,PO-2024-9615,PO-2024-9615,PO-2024-9615,True,True
L2_E_003,True,True,PO-2026-4476,PO-2026-4476,PO-2026-4476,True,True
L2_E_004,True,True,PO-2025-8669,PO-2025-8669,PO-2025-8669,True,True
L2_E_005,True,True,PO-2024-8233,PO-2024-8233,PO-2024-8233,True,True
L2_E_006,False,True,P0-2026-8423,PO-2026-8423,PO-2026-8423,False,True
L2_E_007,True,True,PO-2026-3151,PO-2026-3151,PO-2026-3151,True,True
L2_E_008,True,True,PO-2025-3434,PO-2025-3434,PO-2025-3434,True,True
L2_E_009,True,True,PO-2024-7470,PO-2024-7470,PO-2024-7470,True,True
L2_E_010,True,True,PO-2024-5830,PO-2024-5830,PO-2024-5830,True,True
L2_E_011,True,True,PO-2025-6681,PO-2025-6681,PO-2025-6681,True,True
L2_E_012,False,False,PO-2025-4845,PO-2025-4845,PO-2025-4845,True,True
L2_E_013,True,True,PO-2025-3572,PO-2025-3572,PO-2025-3572,True,True
L2_E_014,True,True,PO-2024-3260,PO-2024-3260,PO-2024-3260,True,True
L2_E_015,True,True,PO-2024-5940,PO-2024-5940,PO-2024-5940,True,True
L2_E_016,True,True,PO-2024-6371,PO-2024-6371,PO-2024-6371,True,True
L2_E_017,True,True,PO-2024-7694,PO-2024-7694,PO-2024-7694,True,True
L2_E_018,True,True,PO-2024-1732,PO-2024-1732,PO-2024-1732,True,True
L2_E_019,True,True,PO-2024-5018,PO-2024-5018,PO-2024-5018,True,True
L2_E_020,True,True,PO-2025-9333,PO-2025-9333,PO-2025-9333,True,True
L2_E_021,True,True,PO-2024-9806,PO-2024-9806,PO-2024-9806,True,True
L2_E_022,True,True,PO-2026-3014,PO-2026-3014,PO-2026-3014,True,True
L2_E_023,True,True,PO-2024-8283,PO-2024-8283,PO-2024-8283,True,True
L2_E_024,False,True,P0-2024-1378,PO-2024-1378,PO-2024-1378,False,True
L2_E_025,True,True,PO-2026-4696,PO-2026-4696,PO-2026-4696,True,True
L2_E_026,True,True,PO-2025-2065,PO-2025-2065,PO-2025-2065,True,True
L2_E_027,True,True,PO-2026-8284,PO-2026-8284,PO-2026-8284,True,True
L2_E_028,True,True,PO-2024-4282,PO-2024-4282,PO-2024-4282,True,True
L2_E_029,True,True,PO-2024-5292,PO-2024-5292,PO-2024-5292,True,True
L2_E_030,True,True,PO-2026-5819,PO-2026-5819,PO-2026-5819,True,True
L2_E_031,False,False,P0-2025-3575,PO-2025-3575,PO-2025-3575,False,True
L2_E_032,True,True,PO-2024-2168,PO-2024-2168,PO-2024-2168,True,True
L2_E_033,True,True,PO-2025-7843,PO-2025-7843,PO-2025-7843,True,True
L2_E_034,False,True,P0-2024-3910,PO-2024-3910,PO-2024-3910,False,True
L2_E_035,True,True,PO-2024-3128,PO-2024-3128,PO-2024-3128,True,True
L2_E_036,True,True,PO-2025-5081,PO-2025-5081,PO-2025-5081,True,True
L2_E_037,True,True,PO-2024-5105,PO-2024-5105,PO-2024-5105,True,True
L2_E_038,True,True,PO-2024-2497,PO-2024-2497,PO-2024-2497,True,True
L2_E_039,True,True,PO-2024-2103,PO-2024-2103,PO-2024-2103,True,True
L2_E_040,True,True,PO-2026-3032,PO-2026-3032,PO-2026-3032,True,True
L2_E_041,True,True,PO-2024-4372,PO-2024-4372,PO-2024-4372,True,True
L2_E_042,True,True,PO-2026-8101,PO-2026-8101,PO-2026-8101,True,True
L2_E_043,True,True,PO-2024-8148,PO-2024-8148,PO-2024-8148,True,True
L2_E_044,True,True,PO-2026-7743,PO-2026-7743,PO-2026-7743,True,True
L2_E_045,True,True,PO-2024-5249,PO-2024-5249,PO-2024-5249,True,True
L2_E_046,True,True,PO-2025-7074,PO-2025-7074,PO-2025-7074,True,True
L2_E_047,True,True,PO-2026-3345,PO-2026-3345,PO-2026-3345,True,True
L2_E_048,True,True,PO-2024-6452,PO-2024-6452,PO-2024-6452,True,True
L2_E_049,True,True,PO-2025-3370,PO-2025-3370,PO-2025-3370,True,True
L2_E_050,True,True,PO-2026-7427,PO-2026-7427,PO-2026-7427,True,True
