file_name,version,field_scope,item_index,field_name,old_value,new_value,changed,fix_reason
L2_A_018,v1_baseline,item,2,part_number,AX-305,AX-305,False,part_uppercase_only_or_already_correct
L2_A_018,v1_baseline,item,3,part_number,BK-410,BK-410,False,part_uppercase_only_or_already_correct
L2_A_018,v1_baseline,item,4,part_number,JQ-410,JQ-410,False,part_uppercase_only_or_already_correct
L2_A_019,v1_baseline,header,,po_number,PO-2024-3564,PO-2024-3564,False,po_uppercase_only_or_already_correct
L2_A_019,v1_baseline,item,0,part_number,EV-830,EV-830,False,part_uppercase_only_or_already_correct
L2_A_019,v1_baseline,item,1,part_number,JQ-410,JQ-410,False,part_uppercase_only_or_already_correct
L2_A_019,v1_baseline,item,2,part_number,CN-512,CN-512,False,part_uppercase_only_or_already_correct
L2_A_019,v1_baseline,item,3,part_number,EV-512,EV-512,False,part_uppercase_only_or_already_correct
L2_A_020,v1_baseline,header,,po_number,PO-2024-3870,PO-2024-3870,False,po_uppercase_only_or_already_correct
L2_A_020,v1_baseline,item,0,part_number,HM-220,HM-220,False,part_uppercase_only_or_already_correct
L2_A_020,v1_baseline,item,1,part_number,FT-220,FT-220,False,part_uppercase_only_or_already_correct
L2_A_020,v1_baseline,item,2,part_number,HM-512,HM-512,False,part_uppercase_only_or_already_correct
L2_A_021,v1_baseline,header,,po_number,PO-2024-5375,PO-2024-5375,False,po_uppercase_only_or_already_correct
L2_A_021,v1_baseline,item,0,part_number,JQ-410,JQ-410,False,part_uppercase_only_or_already_correct
L2_A_021,v1_baseline,item,1,part_number,IR-725,IR-725,False,part_uppercase_only_or_already_correct
L2_A_022,v1_baseline,header,,po_number,PO-2026-3369,PO-2026-3369,False,po_uppercase_only_or_already_correct
L2_A_022,v1_baseline,item,0,part_number,GX-618,GX-618,False,part_uppercase_only_or_already_correct
L2_A_022,v1_baseline,item,1,part_number,EV-512,EV-512,False,part_uppercase_only_or_already_correct
L2_A_023,v1_baseline,header,,po_number,PO-2025-7325,PO-2025-7325,False,po_uppercase_only_or_already_correct
L2_A_023,v1_baseline,item,0,part_number,HM-220,HM-220,False,part_uppercase_only_or_already_correct
L2_A_023,v1_baseline,item,1,part_number,CN-725,CN-725,False,part_uppercase_only_or_already_correct
L2_A_023,v1_baseline,item,2,part_number,EV-618,EV-618,False,part_uppercase_only_or_already_correct
L2_A_023,v1_baseline,item,3,part_number,FT-940,FT-940,False,part_uppercase_only_or_already_correct
L2_A_024,v1_baseline,header,,po_number,PO-2025-7141,PO-2025-7141,False,po_uppercase_only_or_already_correct
L2_A_024,v1_baseline,item,0,part_number,JQ-725,JQ-725,False,part_uppercase_only_or_already_correct
L2_A_024,v1_baseline,item,1,part_number,JQ-305,JQ-305,False,part_uppercase_only_or_already_correct
L2_A_024,v1_baseline,item,2,part_number,HM-512,HM-512,False,part_uppercase_only_or_already_correct
L2_A_025,v1_baseline,header,,po_number,PO-2026-5847,PO-2026-5847,False,po_uppercase_only_or_already_correct
L2_A_025,v1_baseline,item,0,part_number,AX-830,AX-830,False,part_uppercase_only_or_already_correct
L2_A_025,v1_baseline,item,1,part_number,FT-410,FT-410,False,part_uppercase_only_or_already_correct
L2_A_026,v1_baseline,header,,po_number,PO-2024-3165,PO-2024-3165,False,po_uppercase_only_or_already_correct
L2_A_026,v1_baseline,item,0,part_number,HM-512,HM-512,False,part_uppercase_only_or_already_correct
L2_A_026,v1_baseline,item,1,part_number,BK-305,BK-305,False,part_uppercase_only_or_already_correct
L2_A_026,v1_baseline,item,2,part_number,IR-618,IR-618,False,part_uppercase_only_or_already_correct
L2_A_027,v1_baseline,header,,po_number,PO-2025-7689,PO-2025-7689,False,po_uppercase_only_or_already_correct
L2_A_027,v1_baseline,item,0,part_number,DX-940,DX-940,False,part_uppercase_only_or_already_correct
L2_A_027,v1_baseline,item,1,part_number,IR-725,IR-725,False,part_uppercase_only_or_already_correct
L2_A_027,v1_baseline,item,2,part_number,BK-830,BK-830,False,part_uppercase_only_or_already_correct
L2_A_027,v1_baseline,item,3,part_number,EV-100,EV-100,False,part_uppercase_only_or_already_correct
L2_A_028,v1_baseline,header,,po_number,PO-2026-4475,PO-2026-4475,False,po_uppercase_only_or_already_correct
L2_A_028,v1_baseline,item,0,part_number,IR-410,IR-410,False,part_uppercase_only_or_already_correct
L2_A_028,v1_baseline,item,1,part_number,DX-618,DX-618,False,part_uppercase_only_or_already_correct
L2_A_028,v1_baseline,item,2,part_number,CN-305,CN-305,False,part_uppercase_only_or_already_correct
L2_A_029,v1_baseline,header,,po_number,PO-2025-9619,PO-2025-9619,False,po_uppercase_only_or_already_correct
L2_A_029,v1_baseline,item,0,part_number,BK-830,BK-830,False,part_uppercase_only_or_already_correct
L2_A_029,v1_baseline,item,1,part_number,AX-940,AX-940,False,part_uppercase_only_or_already_correct
L2_A_029,v1_baseline,item,2,part_number,AX-100,AX-100,False,part_uppercase_only_or_already_correct
L2_A_029,v1_baseline,item,3,part_number,BK-830,BK-830,False,part_uppercase_only_or_already_correct
L2_A_029,v1_baseline,item,4,part_number,FT-305,FT-305,False,part_uppercase_only_or_already_correct
L2_A_030,v1_baseline,header,,po_number,PO-2025-7532,PO-2025-7532,False,po_uppercase_only_or_already_correct
L2_A_030,v1_baseline,item,0,part_number,FT-305,FT-305,False,part_uppercase_only_or_already_correct
L2_A_030,v1_baseline,item,1,part_number,BK-220,BK-220,False,part_uppercase_only_or_already_correct
L2_A_030,v1_baseline,item,2,part_number,FT-305,FT-305,False,part_uppercase_only_or_already_correct
L2_A_030,v1_baseline,item,3,part_number,IR-940,IR-940,False,part_uppercase_only_or_already_correct
L2_A_030,v1_baseline,item,4,part_number,GX-100,GX-100,False,part_uppercase_only_or_already_correct
L2_A_031,v1_baseline,header,,po_number,PO-2026-4705,PO-2026-4705,False,po_uppercase_only_or_already_correct
L2_A_031,v1_baseline,item,0,part_number,EV-618,EV-618,False,part_uppercase_only_or_already_correct
L2_A_031,v1_baseline,item,1,part_number,CN-725,CN-725,False,part_uppercase_only_or_already_correct
L2_A_031,v1_baseline,item,2,part_number,AX-220,AX-220,False,part_uppercase_only_or_already_correct
L2_A_031,v1_baseline,item,3,part_number,HM-618,HM-618,False,part_uppercase_only_or_already_correct
L2_A_032,v1_baseline,header,,po_number,PO-2025-7785,PO-2025-7785,False,po_uppercase_only_or_already_correct
L2_A_032,v1_baseline,item,0,part_number,JQ-830,JQ-830,False,part_uppercase_only_or_already_correct
L2_A_032,v1_baseline,item,1,part_number,GX-100,GX-100,False,part_uppercase_only_or_already_correct
L2_A_032,v1_baseline,item,2,part_number,DX-305,DX-305,False,part_uppercase_only_or_already_correct
L2_A_032,v1_baseline,item,3,part_number,AX-830,AX-830,False,part_uppercase_only_or_already_correct
L2_A_033,v1_baseline,header,,po_number,PO-2024-7636,PO-2024-7636,False,po_uppercase_only_or_already_correct
L2_A_033,v1_baseline,item,0,part_number,BK-410,BK-410,False,part_uppercase_only_or_already_correct
L2_A_033,v1_baseline,item,1,part_number,BK-725,BK-725,False,part_uppercase_only_or_already_correct
L2_A_033,v1_baseline,item,2,part_number,CN-220,CN-220,False,part_uppercase_only_or_already_correct
L2_A_033,v1_baseline,item,3,part_number,DX-618,DX-618,False,part_uppercase_only_or_already_correct
L2_A_034,v1_baseline,header,,po_number,PO-2026-6295,PO-2026-6295,False,po_uppercase_only_or_already_correct
L2_A_034,v1_baseline,item,0,part_number,EV-100,EV-100,False,part_uppercase_only_or_already_correct
L2_A_034,v1_baseline,item,1,part_number,HM-830,HM-830,False,part_uppercase_only_or_already_correct
L2_A_034,v1_baseline,item,2,part_number,EV-220,EV-220,False,part_uppercase_only_or_already_correct
L2_A_034,v1_baseline,item,3,part_number,HM-940,HM-940,False,part_uppercase_only_or_already_correct
L2_A_034,v1_baseline,item,4,part_number,JQ-410,JQ-410,False,part_uppercase_only_or_already_correct
L2_A_035,v1_baseline,header,,po_number,PO-2026-3600,PO-2026-3600,False,po_uppercase_only_or_already_correct
L2_A_035,v1_baseline,item,0,part_number,AX-618,AX-618,False,part_uppercase_only_or_already_correct
L2_A_035,v1_baseline,item,1,part_number,GX-512,GX-512,False,part_uppercase_only_or_already_correct
L2_A_035,v1_baseline,item,2,part_number,FT-220,FT-220,False,part_uppercase_only_or_already_correct
L2_A_035,v1_baseline,item,3,part_number,EV-725,EV-725,False,part_uppercase_only_or_already_correct
L2_A_035,v1_baseline,item,4,part_number,BK-512,BK-512,False,part_uppercase_only_or_already_correct
L2_A_036,v1_baseline,header,,po_number,PO-2024-3538,PO-2024-3538,False,po_uppercase_only_or_already_correct
L2_A_036,v1_baseline,item,0,part_number,CN-305,CN-305,False,part_uppercase_only_or_already_correct
L2_A_036,v1_baseline,item,1,part_number,AX-725,AX-725,False,part_uppercase_only_or_already_correct
L2_A_036,v1_baseline,item,2,part_number,JQ-512,JQ-512,False,part_uppercase_only_or_already_correct
L2_A_036,v1_baseline,item,3,part_number,EV-830,EV-830,False,part_uppercase_only_or_already_correct
L2_A_037,v1_baseline,header,,po_number,PO-2025-8361,PO-2025-8361,False,po_uppercase_only_or_already_correct
L2_A_037,v1_baseline,item,0,part_number,AX-725,AX-725,False,part_uppercase_only_or_already_correct
L2_A_037,v1_baseline,item,1,part_number,DX-725,DX-725,False,part_uppercase_only_or_already_correct
L2_A_037,v1_baseline,item,2,part_number,FT-220,FT-220,False,part_uppercase_only_or_already_correct
L2_A_038,v1_baseline,header,,po_number,PO-2026-9647,PO-2026-9647,False,po_uppercase_only_or_already_correct
L2_A_038,v1_baseline,item,0,part_number,GX-830,GX-830,False,part_uppercase_only_or_already_correct
L2_A_038,v1_baseline,item,1,part_number,HM-940,HM-940,False,part_uppercase_only_or_already_correct
L2_A_038,v1_baseline,item,2,part_number,CN-512,CN-512,False,part_uppercase_only_or_already_correct
L2_A_038,v1_baseline,item,3,part_number,DX-725,DX-725,False,part_uppercase_only_or_already_correct
L2_A_039,v1_baseline,header,,po_number,PO-2024-6850,PO-2024-6850,False,po_uppercase_only_or_already_correct
L2_A_039,v1_baseline,item,0,part_number,IR-618,IR-618,False,part_uppercase_only_or_already_correct
L2_A_039,v1_baseline,item,1,part_number,HM-305,HM-305,False,part_uppercase_only_or_already_correct
L2_A_039,v1_baseline,item,2,part_number,HM-100,HM-100,False,part_uppercase_only_or_already_correct
L2_A_039,v1_baseline,item,3,part_number,DX-100,DX-100,False,part_uppercase_only_or_already_correct
L2_A_040,v1_baseline,header,,po_number,PO-2026-8204,PO-2026-8204,False,po_uppercase_only_or_already_correct
L2_A_040,v1_baseline,item,0,part_number,IR-512,IR-512,False,part_uppercase_only_or_already_correct
L2_A_040,v1_baseline,item,1,part_number,JQ-305,JQ-305,False,part_uppercase_only_or_already_correct
L2_A_040,v1_baseline,item,2,part_number,BK-618,BK-618,False,part_uppercase_only_or_already_correct
L2_A_040,v1_baseline,item,3,part_number,GX-305,GX-305,False,part_uppercase_only_or_already_correct
L2_A_040,v1_baseline,item,4,part_number,FT-725,FT-725,False,part_uppercase_only_or_already_correct
L2_A_041,v1_baseline,header,,po_number,PO-2024-3513,PO-2024-3513,False,po_uppercase_only_or_already_correct
L2_A_041,v1_baseline,item,0,part_number,FT-725,FT-725,False,part_uppercase_only_or_already_correct
L2_A_041,v1_baseline,item,1,part_number,BK-100,BK-100,False,part_uppercase_only_or_already_correct
L2_A_042,v1_baseline,header,,po_number,PO-2026-6236,PO-2026-6236,False,po_uppercase_only_or_already_correct
L2_A_042,v1_baseline,item,0,part_number,CN-618,CN-618,False,part_uppercase_only_or_already_correct
L2_A_042,v1_baseline,item,1,part_number,DX-305,DX-305,False,part_uppercase_only_or_already_correct
L2_A_042,v1_baseline,item,2,part_number,IR-618,IR-618,False,part_uppercase_only_or_already_correct
L2_A_042,v1_baseline,item,3,part_number,BK-220,BK-220,False,part_uppercase_only_or_already_correct
L2_A_043,v1_baseline,header,,po_number,PO-2026-1907,PO-2026-1907,False,po_uppercase_only_or_already_correct
L2_A_043,v1_baseline,item,0,part_number,DX-618,DX-618,False,part_uppercase_only_or_already_correct
L2_A_043,v1_baseline,item,1,part_number,EV-410,EV-410,False,part_uppercase_only_or_already_correct
L2_A_043,v1_baseline,item,2,part_number,EV-940,EV-940,False,part_uppercase_only_or_already_correct
L2_A_044,v1_baseline,header,,po_number,PO-2026-1496,PO-2026-1496,False,po_uppercase_only_or_already_correct
L2_A_044,v1_baseline,item,0,part_number,GX-512,GX-512,False,part_uppercase_only_or_already_correct
L2_A_044,v1_baseline,item,1,part_number,CN-830,CN-830,False,part_uppercase_only_or_already_correct
L2_A_044,v1_baseline,item,2,part_number,FT-305,FT-305,False,part_uppercase_only_or_already_correct
L2_A_044,v1_baseline,item,3,part_number,FT-725,FT-725,False,part_uppercase_only_or_already_correct
L2_A_045,v1_baseline,header,,po_number,PO-2026-6123,PO-2026-6123,False,po_uppercase_only_or_already_correct
L2_A_045,v1_baseline,item,0,part_number,BK-725,BK-725,False,part_uppercase_only_or_already_correct
L2_A_045,v1_baseline,item,1,part_number,DX-618,DX-618,False,part_uppercase_only_or_already_correct
L2_A_045,v1_baseline,item,2,part_number,JQ-830,JQ-830,False,part_uppercase_only_or_already_correct
L2_A_045,v1_baseline,item,3,part_number,BK-725,BK-725,False,part_uppercase_only_or_already_correct
L2_A_045,v1_baseline,item,4,part_number,GX-618,GX-618,False,part_uppercase_only_or_already_correct
L2_A_046,v1_baseline,header,,po_number,PO-2025-3363,PO-2025-3363,False,po_uppercase_only_or_already_correct
L2_A_046,v1_baseline,item,0,part_number,FT-830,FT-830,False,part_uppercase_only_or_already_correct
L2_A_046,v1_baseline,item,1,part_number,IR-305,IR-305,False,part_uppercase_only_or_already_correct
L2_A_047,v1_baseline,header,,po_number,PO-2025-5350,PO-2025-5350,False,po_uppercase_only_or_already_correct
L2_A_047,v1_baseline,item,0,part_number,JQ-725,JQ-725,False,part_uppercase_only_or_already_correct
L2_A_047,v1_baseline,item,1,part_number,BK-410,BK-410,False,part_uppercase_only_or_already_correct
L2_A_047,v1_baseline,item,2,part_number,CN-725,CN-725,False,part_uppercase_only_or_already_correct
L2_A_048,v1_baseline,header,,po_number,PO-2026-6804,PO-2026-6804,False,po_uppercase_only_or_already_correct
L2_A_048,v1_baseline,item,0,part_number,DX-512,DX-512,False,part_uppercase_only_or_already_correct
L2_A_048,v1_baseline,item,1,part_number,HM-618,HM-618,False,part_uppercase_only_or_already_correct
L2_A_048,v1_baseline,item,2,part_number,EV-512,EV-512,False,part_uppercase_only_or_already_correct
L2_A_049,v1_baseline,header,,po_number,PO-2026-5442,PO-2026-5442,False,po_uppercase_only_or_already_correct
L2_A_049,v1_baseline,item,0,part_number,IR-410,IR-410,False,part_uppercase_only_or_already_correct
L2_A_049,v1_baseline,item,1,part_number,FT-830,FT-830,False,part_uppercase_only_or_already_correct
L2_A_049,v1_baseline,item,2,part_number,IR-305,IR-305,False,part_uppercase_only_or_already_correct
L2_A_050,v1_baseline,header,,po_number,PO-2026-5742,PO-2026-5742,False,po_uppercase_only_or_already_correct
L2_A_050,v1_baseline,item,0,part_number,IR-940,IR-940,False,part_uppercase_only_or_already_correct
L2_A_050,v1_baseline,item,1,part_number,HM-512,HM-512,False,part_uppercase_only_or_already_correct
L2_A_050,v1_baseline,item,2,part_number,HM-512,HM-512,False,part_uppercase_only_or_already_correct
L2_A_050,v1_baseline,item,3,part_number,EV-410,EV-410,False,part_uppercase_only_or_already_correct
L2_B_001,v1_baseline,header,,po_number,PO-2025-1187,PO-2025-1187,False,po_uppercase_only_or_already_correct
L2_B_001,v1_baseline,item,0,part_number,CN-725,CN-725,False,part_uppercase_only_or_already_correct
L2_B_001,v1_baseline,item,1,part_number,EV-618,EV-618,False,part_uppercase_only_or_already_correct
L2_B_002,v1_baseline,header,,po_number,Po-2026-2341,PO-2026-2341,True,po_pattern_fix_applied
L2_B_002,v1_baseline,item,0,part_number,IR-940,IR-940,False,part_uppercase_only_or_already_correct
L2_B_002,v1_baseline,item,1,part_number,CN-618,CN-618,False,part_uppercase_only_or_already_correct
L2_B_003,v1_baseline,header,,po_number,PO-2024-8575,PO-2024-8575,False,po_uppercase_only_or_already_correct
L2_B_003,v1_baseline,item,0,part_number,JQ-220,JQ-220,False,part_uppercase_only_or_already_correct
L2_B_003,v1_baseline,item,1,part_number,BK-940,BK-940,False,part_uppercase_only_or_already_correct
L2_B_003,v1_baseline,item,2,part_number,HM-100,HM-100,False,part_uppercase_only_or_already_correct
L2_B_003,v1_baseline,item,3,part_number,CN-725,CN-725,False,part_uppercase_only_or_already_correct
L2_B_004,v1_baseline,header,,po_number,PO-2025-8585,PO-2025-8585,False,po_uppercase_only_or_already_correct
L2_B_004,v1_baseline,item,0,part_number,EV-410,EV-410,False,part_uppercase_only_or_already_correct
L2_B_004,v1_baseline,item,1,part_number,GX-100,GX-100,False,part_uppercase_only_or_already_correct
L2_B_004,v1_baseline,item,2,part_number,JQ-100,JQ-100,False,part_uppercase_only_or_already_correct
L2_B_005,v1_baseline,header,,po_number,PO-2025-6253,PO-2025-6253,False,po_uppercase_only_or_already_correct
L2_B_005,v1_baseline,item,0,part_number,IR-305,IR-305,False,part_uppercase_only_or_already_correct
L2_B_005,v1_baseline,item,1,part_number,FT-725,FT-725,False,part_uppercase_only_or_already_correct
L2_B_005,v1_baseline,item,2,part_number,GX-305,GX-305,False,part_uppercase_only_or_already_correct
L2_B_005,v1_baseline,item,3,part_number,IR-830,IR-830,False,part_uppercase_only_or_already_correct
L2_B_005,v1_baseline,item,4,part_number,CN-830,CN-830,False,part_uppercase_only_or_already_correct
L2_B_006,v1_baseline,header,,po_number,PO-2024-5398,PO-2024-5398,False,po_uppercase_only_or_already_correct
L2_B_006,v1_baseline,item,0,part_number,JQ-940,JQ-940,False,part_uppercase_only_or_already_correct
L2_B_006,v1_baseline,item,1,part_number,FT-512,FT-512,False,part_uppercase_only_or_already_correct
L2_B_007,v1_baseline,header,,po_number,Po-2025-9743,PO-2025-9743,True,po_pattern_fix_applied
L2_B_007,v1_baseline,item,0,part_number,HM-618,HM-618,False,part_uppercase_only_or_already_correct
L2_B_007,v1_baseline,item,1,part_number,AX-410,AX-410,False,part_uppercase_only_or_already_correct
L2_B_007,v1_baseline,item,2,part_number,JQ-725,JQ-725,False,part_uppercase_only_or_already_correct
L2_B_007,v1_baseline,item,3,part_number,DX-725,DX-725,False,part_uppercase_only_or_already_correct
L2_B_007,v1_baseline,item,4,part_number,FT-512,FT-512,False,part_uppercase_only_or_already_correct
